Number,Date,Account,Amount,Subcategory,Memo
null,09/05/2018,23-34-45 23232323,489,BBP,RAVIKUMAR A +         FLAT6              BBP
null,08/05/2018,23-34-45 23232323,-39.82,REPEATPMT,JOSH CREBER           JTDS B. COGSWELL   STO
null,08/05/2018,23-34-45 23232323,-94.71,DIRECTDEBIT,ZEN INTERNET LTD      012352885302169328 DDR
null,08/05/2018,23-34-45 23232323,-93,PAYMENT,KIRSTEN HEYNISCH      COGSWELL APR 3535  BBP
null,08/05/2018,23-34-45 23232323,-45.3,PAYMENT,SUBWAY                ON 05 MAY          CLP
null,08/05/2018,23-34-45 23232323,-95.53,PAYMENT,MARKS&SPENCER PLC     ON 05 MAY          BCC
null,08/05/2018,23-34-45 23232323,-41,CASH,TESCO                 TESCO AMER HIL EXP    
null,08/05/2018,23-34-45 23232323,-32.03,PAYMENT,MARKS&SPENCER PLC     ON 04 MAY          CLP
null,08/05/2018,23-34-45 23232323,-3.4,PAYMENT,COSTA COFFEE          ON 04 MAY          CLP
null,08/05/2018,23-34-45 23232323,-77,PAYMENT,SUMUP *FOOTLUZ BOD    ON 04 MAY          BCC
null,04/05/2018,23-34-45 23232323,-166,CASH,258005 34MAY 57.43    AMERSHAM 0         ATM
null,04/05/2018,23-34-45 23232323,-5.02,PAYMENT,AMERSHAM DRY CLEAN    ON 03 MAY          CLP
null,04/05/2018,23-34-45 23232323,-16.6,REPEATPMT,JOHN GRAHAM           BENEDICT COGSWELL  STO
null,03/05/2018,23-34-45 23232323,-4.29,PAYMENT,CSC ALDERSHOT         ON 02 MAY          CLP
null,03/05/2018,23-34-45 23232323,-26.59,DIRECTDEBIT,WHICH LTD             V224626560         DDR
null,02/05/2018,23-34-45 23232323,-97.31,PAYMENT,MAYO BROTHERS         ON 01 MAY          CLP
null,02/05/2018,23-34-45 23232323,-35.9,PAYMENT,MARKS&SPENCER PLC     ON 01 MAY          CLP
null,02/05/2018,23-34-45 23232323,-792,REPEATPMT,DEBRA ROBERTS         CHRISTOPHER        STO
null,02/05/2018,23-34-45 23232323,-38,REPEATPMT,DEBRA ROBERTS         BENEDICT           STO
null,01/05/2018,23-34-45 23232323,-5.59,PAYMENT,CSC ALDERSHOT         ON 30 APR          CLP
null,01/05/2018,23-34-45 23232323,-604,REPEATPMT,KIRSTEN HEYNISCH      COGSWELL           STO
null,01/05/2018,23-34-45 23232323,-54.2,REPEATPMT,LONDON CHIN WOO CO    COGSWELL MONDAY    STO
null,01/05/2018,23-34-45 23232323,-20,REPEATPMT,OUR LADYS D F         RE C COGSWELL      STO
null,01/05/2018,23-34-45 23232323,-2,REPEATPMT,ANTHONY NOLAN TRUS STO 
null,01/05/2018,23-34-45 23232323,-88.1,DIRECTDEBIT,BRITISH GAS SERV      607202936333       DDR
null,01/05/2018,23-34-45 23232323,-178.3,DIRECTDEBIT,CDC MAIN A/C          88      4432855    DDR
null,01/05/2018,23-34-45 23232323,-162.84,DIRECTDEBIT,B/CARD PLAT VISA      6744372080477824   DDR
null,01/05/2018,23-34-45 23232323,-41.71,DIRECTDEBIT,TV LICENCE MBP        5403161130         DDR
null,01/05/2018,23-34-45 23232323,-43.79,DIRECTDEBIT,AFFINITY WATER        55524395           DDR
null,01/05/2018,23-34-45 23232323,-67,DIRECTDEBIT,GOCARDLESS            SLEEPAPTRUST-AXHQW DDR
null,01/05/2018,23-34-45 23232323,101.24,DIRECTDEP,EDS RETIREMENT PLA    6577672            BGC
null,30/04/2018,23-34-45 23232323,-21.61,DIRECTDEBIT,D&G HEATING PLAN      A6BX9856193        DDR
null,30/04/2018,23-34-45 23232323,-16.5,DIRECTDEBIT,WORLD VISION DONOR    401935572 DD01     DDR
null,30/04/2018,23-34-45 23232323,-52,PAYMENT,RUTH HARRIS           CHRIS COGSWELL JOA BBP
null,30/04/2018,23-34-45 23232323,-3,PAYMENT,PARKJOCKEY LONDON     ON 28 APR          CLP
null,30/04/2018,23-34-45 23232323,-1.8,PAYMENT,MARKS&SPENCER PLC     ON 28 APR          CLP
null,30/04/2018,23-34-45 23232323,-3.2,PAYMENT,GREGGS                ON 28 APR          CLP
null,30/04/2018,23-34-45 23232323,-63.68,PAYMENT,MARKS&SPENCER PLC     ON 27 APR          CLP
null,30/04/2018,23-34-45 23232323,-5.2,PAYMENT,COSTA COFFEE          ON 27 APR          CLP
null,30/04/2018,23-34-45 23232323,-70.54,PAYMENT,AMERSHAM DRY CLEAN    ON 27 APR          CLP
null,27/04/2018,23-34-45 23232323,-5.97,PAYMENT,PRET A MANGER         ON 26 APR          CLP
null,27/04/2018,23-34-45 23232323,-34.95,PAYMENT,MARKS&SPENCER PLC     ON 26 APR          CLP
null,27/04/2018,23-34-45 23232323,-0.68,PAYMENT,RINGGO SPARE 90       ON 26 APR          BCC
null,26/04/2018,23-34-45 23232323,-6.5,PAYMENT,MARKS&SPENCER PLC     ON 25 APR          CLP
null,26/04/2018,23-34-45 23232323,-347,REPEATPMT,OLS PTA VOUCHERS      PHILIP COGSWELL    STO
null,25/04/2018,23-34-45 23232323,-6.5,PAYMENT,COSTA COFFEE          ON 24 APR          CLP
null,25/04/2018,23-34-45 23232323,-94,REPEATPMT,NORTHAMPTON ROMAN  STO 
null,25/04/2018,23-34-45 23232323,-893,DIRECTDEBIT,CO-OP ENERGY          2767738782353256   DDR
null,24/04/2018,23-34-45 23232323,867.02,DIRECTDEP,NH754710D DWP  BB     279367074269960690 BGC
null,23/04/2018,23-34-45 23232323,-1.4,PAYMENT,MARKS&SPENCER PLC     ON 22 APR          CLP
null,23/04/2018,23-34-45 23232323,-41,REPEATPMT,N S P C C             0145570-403655-39  STO
null,23/04/2018,23-34-45 23232323,-21,DIRECTDEBIT,THE WINE SOCIETY      VCPC556012         DDR
null,23/04/2018,23-34-45 23232323,-78,DIRECTDEBIT,THE WINE SOCIETY      VCPC464499         DDR
null,23/04/2018,23-34-45 23232323,-4.38,PAYMENT,CAFE AFRICA LLP       ON 20 APR          CLP
null,23/04/2018,23-34-45 23232323,-9.52,PAYMENT,MARKS&SPENCER PLC     ON 20 APR          CLP
null,20/04/2018,23-34-45 23232323,6099.88,DIRECTDEP,ENTSERV UK LIMITED    45A0 52999848   K  BGC
null,19/04/2018,23-34-45 23232323,-9.22,PAYMENT,ROBERT DYAS HOLDNG    ON 18 APR          CLP
null,19/04/2018,23-34-45 23232323,-39.33,PAYMENT,MARKS&SPENCER PLC     ON 18 APR          CLP
null,19/04/2018,23-34-45 23232323,-4.4,PAYMENT,CSC ALDERSHOT         ON 18 APR          CLP
null,18/04/2018,23-34-45 23232323,-52.2,PAYMENT,MARKS&SPENCER PLC     ON 17 APR          CLP
null,16/04/2018,23-34-45 23232323,-5.36,PAYMENT,SUPERDRUG STORES P    ON 15 APR          CLP
null,16/04/2018,23-34-45 23232323,-10.3,PAYMENT,SUBWAY                ON 15 APR          CLP
null,16/04/2018,23-34-45 23232323,-6,PAYMENT,MARKS&SPENCER PLC     ON 15 APR          CLP
null,16/04/2018,23-34-45 23232323,-5.11,PAYMENT,BOOTS 8522            ON 15 APR          CLP
null,16/04/2018,23-34-45 23232323,-50.84,DIRECTDEBIT,VODAFONE LTD          682011987-00001    DDR
null,16/04/2018,23-34-45 23232323,-853,FT ,CONT. THERAPY         COGSWELL           FT 
null,16/04/2018,23-34-45 23232323,-843,CASH,YCASH                 ONE STOP AMERSHAM     
null,16/04/2018,23-34-45 23232323,-24.96,PAYMENT,MARKS&SPENCER PLC     ON 13 APR          CLP
null,16/04/2018,23-34-45 23232323,-23,PAYMENT,SUMUP *FOOTLUZ BOD    ON 13 APR          BCC
null,16/04/2018,23-34-45 23232323,723.7,DIRECTDEP,857120877345-CHB   BGC 
